,model,tn,fp,fn,tp,accuracy,recall,f1_score
0,Logistic Regression,424346,78,513,5607,0.9986273179976959,0.9161764705882353,0.9499364675984753
1,SVM,424035,389,1,6119,0.9990941692370582,0.9998366013071895,0.9691162496040545
2,Gradient Boosting Classifier,424136,288,108,6012,0.9990802333791668,0.9823529411764705,0.9681159420289855
